datetime,SS,TURB,Q,SC,lnSS,lnTURB,lnQ,lnSC
7/27/2004 9:45,384,200,5852.542373,133.7631405,5.950642553,5.298317367,8.674631439,4.896070628
1/27/2005 11:20,122,81,171.3559322,348.6766824,4.804021045,4.394449155,5.143742868,5.854145081
3/23/2005 10:20,506,260,5837.457627,226.32005,6.226536669,5.560681631,8.672050643,5.421950148
3/31/2005 11:25,81,50,152.5,651,4.394449155,3.912023005,5.027164596,6.478509642
5/10/2005 9:35,314,165,196.4,587,5.749392986,5.105945474,5.280153396,6.37502482
6/6/2005 10:20,449,290,1943.898305,291.3385988,6.107022888,5.669880923,7.572450671,5.674486161
6/9/2005 10:55,469,380,11900,56,6.150602768,5.940171253,9.384293679,4.025351691
8/31/2005 11:30,141,96.5,111.5,364.0319612,4.94875989,4.569543008,4.714024591,5.897241669
1/10/2007 11:25,11,6.9,14.5,873,2.397895273,1.931521412,2.674148649,6.771935556
3/12/2007 12:05,40,23,19,708,3.688879454,3.135494216,2.944438979,6.562444094
3/21/2007 12:05,49,26,51,698,3.891820298,3.258096538,3.931825633,6.548219103
3/27/2007 11:40,362,250,158,443.7100333,5.891644212,5.521460918,5.062595033,6.095171271
4/2/2007 11:50,775,380,2882,167,6.652863029,5.940171253,7.966239777,5.117993812
4/18/2007 12:00,223,130,861,231,5.407171771,4.86753445,6.758094504,5.442417711
5/8/2007 11:30,275,200,9280,146,5.616771098,5.298317367,9.135616826,4.983606622
5/10/2007 11:30,267,165,5165,175,5.587248658,5.105945474,8.549660382,5.164785974
5/24/2007 13:15,1070,540,5392.5,113,6.975413927,6.29156914,8.592764378,4.727387819
5/25/2007 13:10,280,208.3333333,10866.66667,89,5.634789603,5.339139361,9.293455279,4.48863637
7/11/2007 12:16,446,210,1922,160.6314593,6.100318952,5.347107531,7.56112159,5.079112668
8/16/2007 9:25,46,25.8,59,687,3.828641396,3.250374492,4.077537444,6.532334292
9/6/2007 9:35,47,23,26,952,3.850147602,3.135494216,3.258096538,6.858565035
12/6/2007 11:45,11,5,30,906,2.397895273,1.609437912,3.401197382,6.809039306
12/13/2007 10:20,638,256.3333333,2740,296.4793416,6.458338283,5.546478681,7.915713199,5.691977542
3/6/2008 10:40,779,593.3333333,966.3333333,305.0332806,6.658011046,6.385756355,6.87350884,5.720420887
4/14/2008 12:10,343,230,484,463.0977461,5.837730447,5.438079309,6.182084907,6.137938146
6/30/2008 12:11,389,211.8333333,872.2333333,355.1917931,5.963579344,5.355799802,6.771056972,5.872657906
8/5/2008 9:30,82,30,25.5,707.5,4.406719247,3.401197382,3.238678452,6.56173763
9/16/2008 11:20,337,170,1686.666667,256,5.82008293,5.135798437,7.430509474,5.545177444
4/6/2009 13:05,165,53,187,668.1998803,5.105945474,3.970291914,5.231108617,6.504587351
4/13/2009 11:40,262,140,856.3333333,545.4228783,5.568344504,4.941642423,6.752659708,6.301561417
4/28/2009 10:05,549,280,9190,205.9901957,6.308098442,5.634789603,9.125871215,5.327828574
5/8/2009 12:55,1560,650,3430,232,7.3524411,6.476972363,8.14031554,5.446737372
7/30/2009 10:35,287,210,507,255.398751,5.659482216,5.347107531,6.228511004,5.542826053
9/9/2009 12:00,413,210,3230,158.0332318,6.023447593,5.347107531,8.080237416,5.062805339
9/24/2009 11:20,842,776.6666667,333,243.6538868,6.735780014,6.655011258,5.80814249,5.495748722
11/3/2009 9:20,230,140,328,326.6996783,5.438079309,4.941642423,5.793013608,5.789041334
11/19/2009 11:40,13,6.833333333,65,780,2.564949357,1.921812597,4.17438727,6.65929392
1/19/2010 10:00,10,4.5,80,1040,2.302585093,1.504077397,4.382026635,6.946975992
2/4/2010 10:40,10,4.366666667,64,948.6332109,2.302585093,1.473999942,4.158883083,6.855022223
2/23/2010 12:55,15,11,68.16666667,997,2.708050201,2.397895273,4.221955687,6.90475077
3/10/2010 9:10,322,150,549,713.5,5.774551546,5.010635294,6.308098442,6.570182437
4/14/2010 9:05,28,11.16666667,53,1040,3.33220451,2.41293315,3.970291914,6.946975992
4/23/2010 10:00,196,110,228,600.8149966,5.278114659,4.700480366,5.429345629,6.398287061
5/13/2010 10:15,758,460,541,349,6.630683386,6.131226489,6.293419279,5.855071922
6/9/2010 11:06,1680,784,4460,157.8879835,7.426549072,6.66440902,8.402904045,5.061885816
6/10/2010 9:10,251,160,3291,222,5.525452939,5.075173815,8.098946749,5.402677382
6/13/2010 15:20,883,333.3333333,8223.333333,105.2956624,6.783325201,5.80914299,9.014730921,4.656772226
6/13/2010 19:25,484,267.5,11633.33333,105.2956624,6.182084907,5.589119566,9.361629819,4.656772226
6/14/2010 9:40,272,150,15066.66667,108.3626548,5.605802066,5.010635294,9.620240077,4.685483517
6/14/2010 10:36,242,150,14880,108.3626548,5.488937726,5.010635294,9.607773308,4.685483517
6/15/2010 9:20,510,250,6440,190.9446217,6.234410726,5.521460918,8.770283819,5.251983447
6/15/2010 9:51,486,250,6378,190.9446217,6.186208624,5.521460918,8.760609848,5.251983447
6/16/2010 9:16,525,217.3333333,4807.333333,203.5467104,6.263398263,5.381432273,8.477897809,5.315895514
8/19/2010 12:15,63,36.25,61,633.0642003,4.143134726,3.590439381,4.110873864,6.450571839
8/25/2010 11:00,633,240,770,522.6527075,6.450470422,5.480638923,6.646390515,6.258917204
11/16/2010 12:25,191,140,262,500.5314936,5.252273428,4.941642423,5.568344504,6.215670521
1/19/2011 11:40,38,20.66666667,81,1100,3.63758616,3.028522097,4.394449155,7.003065459
3/7/2011 11:40,20,14,51,759,2.995732274,2.63905733,3.931825633,6.632001777
3/16/2011 9:05,38,19,48,805.1999007,3.63758616,2.944438979,3.871201011,6.69109057
4/6/2011 9:30,27,16,38,957,3.295836866,2.772588722,3.63758616,6.863803391
4/18/2011 12:45,32,19,32,933,3.465735903,2.944438979,3.465735903,6.838405201
5/2/2011 9:05,39,24.91666667,29,936.8999519,3.663561646,3.215536924,3.36729583,6.842576502
5/16/2011 11:30,37,23,27,961,3.610917913,3.135494216,3.295836866,6.867974409
6/7/2011 8:30,61,44,22,691,4.110873864,3.784189634,3.091042453,6.538139824
6/21/2011 10:00,182,110,110,890.4918936,5.204006687,4.700480366,4.700480366,6.791773999
8/15/2011 10:45,313,277.5,26,378.297866,5.746203191,5.625820933,3.258096538,5.935681891
9/22/2011 9:45,152,110,45.75,390.2331043,5.023880521,4.700480366,3.823191792,5.966744264
12/20/2011 11:15,895,500,1090,339.0005081,6.796823718,6.214608098,6.993932975,5.826001606
2/6/2012 10:15,192,135,464,461.8877456,5.257495372,4.905274778,6.139884552,6.135321887
3/1/2012 12:00,1270,740,1310,426.3939716,7.146772179,6.606650186,7.177782416,6.055363735
4/7/2012 10:25,182,130,259.5,376.8736686,5.204006687,4.86753445,5.558756703,5.931910035
4/17/2012 10:45,61,36.5,82.75,725,4.110873864,3.597312261,4.415824014,6.586171655
5/9/2012 12:30,87,50.5,42.5,1205,4.465908119,3.921973336,3.749504076,7.094234846
5/30/2012 9:10,84,43.5,7.9,685,4.430816799,3.772760938,2.066862759,6.529418838
6/12/2012 12:00,94,56,14,545,4.543294782,4.025351691,2.63905733,6.300785795
6/18/2012 12:15,210,150,130,362.3783124,5.347107531,5.010635294,4.86753445,5.892688728
6/19/2012 9:00,158,120,77,513.2626598,5.062595033,4.787491743,4.343805422,6.240787722
7/12/2012 10:15,66,50.75,2.2,782.7332084,4.189654742,3.926911618,0.78845736,6.662791908
7/19/2012 10:15,77,62,1.6,685,4.343805422,4.127134385,0.470003629,6.529418838
9/11/2012 10:15,62,45,4.3,687.4660972,4.127134385,3.80666249,1.458615023,6.533012515
10/24/2012 9:30,62,38.25,4.7,661,4.127134385,3.64414356,1.547562509,6.49375384
11/14/2012 9:20,19,11,6.6,862,2.944438979,2.397895273,1.887069649,6.759255271
12/12/2012 10:00,9,7.9,5.4,854,2.197224577,2.066862759,1.686398954,6.749931194
1/16/2013 9:30,8,7.7,6.6,880.5,2.079441542,2.041220329,1.887069649,6.780489928
1/29/2013 10:05,32,18.91666667,7.9,791,3.465735903,2.940043368,2.066862759,6.673297968
2/13/2013 9:30,7,5,7.9,860,1.945910149,1.609437912,2.066862759,6.756932389
3/12/2013 11:00,44,20,22,880,3.784189634,2.995732274,3.091042453,6.779921907
3/13/2013 9:15,37,20,53.75,1042.657317,3.610917913,2.995732274,3.984343667,6.949527846
3/27/2013 11:35,13,9.325,10,1160,2.564949357,2.232698966,2.302585093,7.056175284
4/15/2013 9:00,48,32,39,1108.159885,3.871201011,3.465735903,3.663561646,7.010456157
4/15/2013 9:10,63,32,39,1108.159885,4.143134726,3.465735903,3.663561646,7.010456157
4/24/2013 9:30,119,105,82,580.8118443,4.779123493,4.65396035,4.406719247,6.364426856
5/6/2013 11:00,132,85,101,777,4.882801923,4.442651256,4.615120517,6.65544035
5/9/2013 13:45,463,367.5,113.5,465,6.137727054,5.906723319,4.731802837,6.142037406
5/15/2013 9:10,140,85.5,32,595,4.941642423,4.448516376,3.465735903,6.388561406
5/21/2013 9:00,192,120,50,447.0993458,5.257495372,4.787491743,3.912023005,6.10278082
5/28/2013 10:50,109,61.33333333,15.16666667,714,4.691347882,4.116323469,2.719100038,6.570882962
6/13/2013 9:20,120,61,30.66666667,919,4.787491743,4.110873864,3.423176288,6.823286122
6/24/2013 9:40,154,69.66666667,22.66666667,1390,5.036952602,4.243721963,3.120895417,7.237059026
7/9/2013 9:31,86,48.45,3.3,721.5,4.454347296,3.880532338,1.193922468,6.581332378
7/29/2013 10:30,215,160,2390,141.0332196,5.370638028,5.075173815,7.779048645,4.948995463
7/29/2013 10:40,236,160,2370,141.0332196,5.463831805,5.075173815,7.770645234,4.948995463
8/7/2013 9:45,154,85.5,13800,104.0618792,5.036952602,4.448516376,9.532423871,4.644985715
9/12/2013 8:50,28,17,65.33333333,897,3.33220451,2.833213344,4.179502371,6.799055862
10/24/2013 9:20,14,7.633333333,30,878,2.63905733,2.032524622,3.401197382,6.777646594
11/25/2013 9:10,6,3.4,37.33333333,863,1.791759469,1.223775432,3.619886583,6.760414691
1/14/2014 10:20,9,4.133333333,45,1060,2.197224577,1.419084184,3.80666249,6.966024187
2/20/2014 10:10,18,8.133333333,49,1040,2.890371758,2.095970844,3.891820298,6.946975992
3/17/2014 9:00,13,6.6,37,997,2.564949357,1.887069649,3.610917913,6.90475077
4/9/2014 12:30,22,11,30.5,990.4832073,3.091042453,2.397895273,3.417726684,6.898192912
5/8/2014 11:00,46,20,22,1141,3.828641396,2.995732274,3.091042453,7.03966035
6/3/2014 10:10,58,34,50.83333333,625.4096486,4.060443011,3.526360525,3.928552307,6.438406873
6/5/2014 10:40,130,69,140.6666667,700,4.86753445,4.234106505,4.946393026,6.551080335
6/9/2014 13:30,285,180,1475,228.0802814,5.65248918,5.192956851,7.296413269,5.429697678
6/12/2014 11:40,441,220,3880,158,6.089044875,5.393627546,8.263590433,5.062595033
6/24/2014 10:00,157,90,278,571,5.056245805,4.49980967,5.627621114,6.34738921
7/10/2014 9:40,57,37.33333333,88.33333333,663,4.043051268,3.619886583,4.481117537,6.49677499
7/15/2014 13:40,59,32.33333333,46,757.3660949,4.077537444,3.47609869,3.828641396,6.629846749
7/24/2014 9:10,52,29.83333333,28,782,3.951243719,3.395626337,3.33220451,6.661854741
8/4/2014 9:15,62,27.5,21.25,821.5328576,4.127134385,3.314186005,3.056356895,6.711171934
